"","valor_beta","valor_muB","valor_muE","valor_muI","valor_rho","maximo","tiempo_maximo","tiempo_mayor_infectados","parasitemia_en_valor_maximo"
"339",31.3,35.895,92.7,56.965,77.14,789242505.598546,0.002,0.001,100
"340",98.64,52.15,65.995,13.4,41.04,598832638.900141,0.008,0.007,100
"341",1.235,64.305,71.19,79.35,4.94,378379434.670119,0.012,0.01,100
"342",2.68,6.3,15.3,32.95,93.43,869428817.669414,0.002,0.002,100
"343",74.34,75.585,87.93,10.81,38.025,462226703.195991,0.01,0.008,100
"344",81.905,50.615,10.95,68.175,44.93,848920700.0934,0.002,0.002,100
"345",11.67,35.605,40.15,33.085,17.4,669141097.714285,0.008,0.007,100
"346",59.57,62.225,85.22,12.995,26.795,418690275.285127,0.012,0.01,100
"347",3.09,89.565,69.295,87.24,91.155,840643204.972662,0.001,0.001,100
"348",77.095,99.94,16.055,75.6,14.395,763329762.303881,0.005,0.004,100
"349",97.1,25.9,96.115,50.775,90.42,835627048.158715,0.001,0.001,100
"350",4.885,7.79,92.315,71.725,40.33,768990675.137846,0.002,0.002,100
"351",60.45,28.51,51.855,24.33,67.535,798150302.429197,0.003,0.003,100
"352",70.52,37,5.43,94.995,91.82,858284412.008534,0.001,0.001,100
"353",82.555,80.53,46.72,31.8,50.465,800760235.479191,0.003,0.003,100
"354",93.565,13.4,65.8,57.92,80.265,853686291.575068,0.001,0.001,100
"355",24.535,44.16,33.525,86.495,34.18,816106432.912046,0.002,0.002,100
"356",29.62,24.055,3.9,56.43,61.895,857694027.405355,0.002,0.002,100
"357",61.29,99.505,70.535,20.755,7.2,219412376.216828,0.024,0.02,98.9219696822646
"358",58.345,50.34,69.765,62.685,54.86,796985628.181043,0.002,0.002,100
"359",56.065,43.72,7.485,93.165,22.26,800171849.415262,0.003,0.002,100
"360",78.37,90.13,89.565,81.155,62.215,NA,NA,0.001,NA
"361",32.51,1.44,72.87,28.085,5.88,219658500.070035,0.023,0.019,99.9999999999998
"362",88.31,80.2,70.985,96.93,30.95,772993917.656733,0.002,0.002,100
"363",44.74,58.265,9.29,21.66,96.015,870894042.7154,0.003,0.002,100
"364",33.495,93.45,0.725,48.505,65.545,871361703.594156,0.002,0.002,100
"365",47.015,0.09,73.42,2.615,74.06,324448274.229626,0.019,0.015,100
"366",23.325,20.42,79.035,15.8,79.32,720491448.219896,0.004,0.003,100
"367",44.145,52.555,59.5,45.155,51.64,813692789.179752,0.002,0.002,100
"368",89.955,2.675,99.065,98.77,81.62,824309208.856521,0.001,0.001,100
"369",85.975,18.055,22.72,85.845,0.2,1e+07,0,NA,1.0989010989011
"370",83.755,38.06,94.33,0.5,23.15,20235848.9515911,0.064,0.042,100
"371",2.89,34.845,49.56,31.775,46.34,768348903.2218,0.004,0.003,100
"372",43.695,10.58,26.72,66.95,80.785,873807061.16183,0.001,0.001,100
"373",35.755,85.285,95.425,57.065,32.56,713947313.811097,0.003,0.003,100
"374",34.79,25.47,75.59,44.635,64.715,801735026.254734,0.002,0.002,100
"375",97.205,88.14,72.76,8.365,45.485,493173729.331429,0.011,0.009,100
"376",17.905,32.51,47.825,51.4,70.07,823977634.079319,0.002,0.002,100
"377",6.925,39.46,53.355,5.085,62.95,532217818.502538,0.013,0.011,100
"378",39.23,18.31,74.27,7.03,56.86,505398813.746569,0.01,0.009,100
"379",85.085,37.465,15.615,95.045,43.68,805823860.831162,0.002,0.001,100
"380",89.06,58.095,75.955,7.34,43.49,436428103.066059,0.013,0.011,100
"381",75.885,84.78,98.715,92.945,45.085,NA,NA,0.001,NA
"382",88.84,45.34,6.5,20.385,18.68,797136324.332254,0.013,0.011,100
"383",38,4.435,44.205,81.825,14.735,734411785.569412,0.004,0.004,100
"384",26.695,86.135,43.45,87.465,92.925,849919107.84506,0.001,0.001,100
"385",74.135,51.91,49.3,48.395,94.985,866408368.180528,0.001,0.001,100
"386",78.485,2.995,63.655,77.695,7.08,495764353.108484,0.009,0.008,100
"387",41.425,9.2,81.06,64.91,89.34,844504448.051768,0.001,0.001,100
"388",89.4,45.6,57.495,18.79,56.645,731655193.904452,0.005,0.004,100
"389",68.42,55.605,12.465,3.215,57.37,711207297.619444,0.024,0.02,100
"390",83.565,77.855,90.17,60.77,82.6,838949607.943966,0.001,0.001,100
"391",32.175,88.455,32.19,28.875,6.885,442050970.097509,0.023,0.019,100
"392",33.29,54.44,4.525,12.13,83.315,879602171.834229,0.005,0.004,100
"393",71.375,16.585,84.86,35.26,61.095,756082962.490474,0.003,0.002,100
"394",45.925,94.265,4.63,49.59,72.3,861702572.157466,0.002,0.002,100
"395",52.605,51.46,9.17,16.88,35.995,831796816.004828,0.008,0.007,100
"396",13.855,59.915,13.23,68.575,74.57,883017604.764363,0.001,0.001,100
"397",55.705,86.935,83.985,63.085,85.99,842889366.711869,0.001,0.001,100
"398",23.515,14.705,28.215,96.4,44.7,794046714.707377,0.002,0.001,100
"399",96.62,67.23,55.665,76.615,99.345,851114229.6059,0.001,0.001,100
"400",15.385,5.705,22.95,80.325,48.38,816854332.443604,0.002,0.001,100
"401",74.495,11.77,54.71,46.79,95.345,826344922.257683,0.001,0.001,95.7527156902017
"402",74.995,21.775,31.75,64.215,66.335,822240675.348072,0.002,0.001,100
"403",40.445,45.645,68.54,53.8,46.165,800350463.719754,0.002,0.002,100
"404",29.52,20.345,23.185,6.245,14.16,384840539.503014,0.045,0.038,100
"405",26.29,46.39,52.835,98.235,47.74,853708724.745166,0.001,0.001,100
"406",90.675,85.6,13,50.85,81.53,849079399.304677,0.002,0.001,100
"407",19.67,15.5,47.715,27.91,22.645,672237648.268276,0.007,0.006,100
"408",67.74,79.605,64.295,34.205,6.1,292171659.146949,0.02,0.017,100
"409",85.8,82.945,89.365,10.38,93.65,661198798.195646,0.005,0.004,100
"410",39.09,39.78,56.26,61.4,6.4,456338917.935665,0.012,0.01,100
"411",99.71,19.68,96.545,56.015,20.955,646315020.528998,0.004,0.004,100
"412",39.565,31.65,12.135,54.91,28.285,852410455.283513,0.003,0.003,100
"413",81.36,23.845,67.61,99.155,3.05,258499791.308359,0.016,0.014,92.7254515857422
"414",47.37,3.515,94.03,20.06,0.215,1e+07,0,0.057,1.0989010989011
"415",75.44,4.325,17.84,91.15,75.08,862963794.703195,0.001,0.001,100
"416",43.28,43.845,69.55,51.005,63.195,805345733.206388,0.002,0.002,100
"417",96.53,70.635,0.43,10.69,29.92,870685347.575497,0.015,0.013,100
"418",41.375,87.685,20.545,3.55,65.26,667112952.860088,0.019,0.016,99.9999999999999
"419",30.8,48.43,2.11,11.095,51.475,880819339.250823,0.008,0.007,100
"420",22.75,98.225,50.14,70.445,93.805,857353221.957005,0.001,0.001,100
"421",48.135,96.6,16.7,25.645,84.46,855003745.289822,0.003,0.002,100
"422",65.075,74.295,45.23,22.7,41.605,748161917.650489,0.005,0.004,100
"423",75.305,16.875,99.55,59.46,11.085,489632489.761511,0.007,0.006,100
"424",44.855,81.285,32.5,32.135,54.765,825764228.83218,0.003,0.003,100
"425",27.35,61.565,93.67,3.655,38.85,196530361.566781,0.022,0.018,100
"426",14.265,94.825,83.125,73.575,27.3,717693835.560224,0.003,0.002,100
"427",29.15,9,13.165,73.36,12.17,754012935.507136,0.006,0.005,100
"428",81.465,95.13,31.445,67.415,63.305,819353034.374356,0.002,0.001,100
"429",73.005,34.115,2.435,98.475,8.7,780360764.497688,0.006,0.005,100
"430",72.445,27.84,44.03,30.175,55.13,807381770.223625,0.003,0.003,100
"431",77.84,54.355,60.125,84.645,1.455,52388386.4549938,0.043,0.038,93.9721527166431
"432",82.685,20.7,54.52,85.665,59.315,853615573.35348,0.001,0.001,100
"433",63.12,75.155,23.33,13.095,50.895,787135554.188023,0.007,0.006,100
"434",80.24,98.145,49.905,76.165,46.6,802184335.954319,0.002,0.002,100
"435",31.58,47.92,1.945,61.825,2.34,490230112.392338,0.047,0.042,100
"436",5.135,78.875,73.32,17.005,92.3,764981274.747549,0.003,0.003,100
"437",22.02,99.6,28.815,94.61,82.565,852962234.840384,0.001,0.001,100
"438",57.485,71.405,39.69,66.22,23.63,792648948.565346,0.003,0.003,100
"439",83.365,3.75,78.2,48.77,84.08,804952745.924107,0.002,0.001,100
"440",83.965,53.045,11.31,76.27,12.3,746349905.018484,0.006,0.005,100
"441",76.1,78.115,29.645,23.65,33.905,769224100.718911,0.006,0.005,99.9999999999999
"442",69.675,48.315,63.08,21.26,29.185,626562455.602524,0.007,0.006,100
"443",35.94,91.58,36.305,44.44,33.45,776696068.542924,0.004,0.003,100
"444",93.705,37.78,34.265,82.505,29.395,828575743.95407,0.002,0.002,100
"445",38.605,92.355,29.04,71.235,92.525,866862994.727332,0.001,0.001,100
"446",91.525,41.34,42.25,55.98,58.81,825694817.396222,0.002,0.002,100
"447",15.57,39.065,79.385,66.71,89.025,844911524.944362,0.001,0.001,100
"448",25.805,91.37,50.475,11.865,26.955,530561297.225618,0.013,0.011,100
"449",5.375,71.78,39.59,47.12,5.105,397163402.720638,0.02,0.017,100
"450",86.485,42.55,67.545,75.04,17.265,687980667.384045,0.004,0.003,100
"451",28.735,65.155,38.255,42.44,46.99,807165397.86979,0.003,0.002,100
"452",59.12,90.575,18.395,33.845,98.2,864535143.748294,0.002,0.002,100
"453",42.51,64.02,0.07,91.4,34.69,841067815.112264,0.002,0.002,100
"454",7.9,8.325,10.365,44.84,5.78,630197330.55321,0.02,0.017,100
"455",33.05,53.27,56.475,67.19,59.955,803079427.395827,0.002,0.001,100
"456",2.085,25.32,96.26,58.245,11.265,498378974.559757,0.007,0.006,100
"457",83.145,69.1,72.255,93.485,55.69,840814998.896197,0.001,0.001,100
"458",10.81,62.685,67.095,63.505,35.22,771922664.444084,0.002,0.002,96.8597601024538
"459",10.555,71.95,39.92,18.365,12.575,473516090.938686,0.019,0.016,100
"460",25.615,26.16,50.76,74.55,41.9,805404169.72369,0.002,0.002,100
"461",80.84,21.375,86.765,65.315,75.36,839527599.483761,0.001,0.001,100
"462",86.73,0.435,68.64,11.63,40.745,558197030.121633,0.009,0.008,100
"463",67.365,39.89,76.8,49.16,82.215,805272541.940693,0.002,0.001,100
"464",94.035,30.495,21.835,14.36,99.54,843592728.322674,0.004,0.003,100
"465",21.71,66.745,96.645,83.92,49.645,761184516.903406,0.002,0.001,100
"466",76.51,96.35,82.72,61.385,12.915,573927087.291395,0.006,0.005,100
"467",95.76,77.525,10.785,3.14,94.215,794182248.719154,0.015,0.013,100
"468",81.765,8.005,39.08,94.26,80.07,849880920.156489,0.001,0.001,99.9999999999999
"469",66.245,96.91,43.81,82.115,1.775,119645531.728614,0.039,0.035,97.4210972770416
"470",79.76,34.655,76.2,13.915,9.825,202201205.629942,0.025,0.021,100
"471",1.81,81.5,66.62,24.06,42.6,700606984.230614,0.005,0.004,100
"472",91.13,57.86,58.145,47.3,87.525,820274916.503113,0.002,0.001,100
"473",32.3,17.85,22.45,95.82,79.6,855585121.121236,0.001,0.001,100
"474",24.825,8.645,69.965,95.615,97.16,835120965.217713,0.001,0.001,100
"475",70.955,68.505,19.91,86.13,71.76,867312155.3626,0.001,0.001,100
"476",57.245,44.555,82.19,16.27,64.97,681053336.53905,0.005,0.004,100
"477",7.78,28.22,38.405,55.685,60.295,829050316.251493,0.002,0.002,100
"478",92.59,67.965,58.655,36.935,68.015,820037276.32333,0.002,0.002,100
"479",49.31,80.8,88.68,99.325,86.77,827553848.129064,0.001,0.001,100
"480",1.135,49.785,3.69,23.505,53.785,876012727.259662,0.004,0.004,100
"481",40.13,86.755,14.55,72.445,92.76,872679274.926803,0.001,0.001,100
"482",66.77,94.45,61.48,29.155,53.52,776113554.849788,0.003,0.003,100
"483",59.965,0.815,22.37,28.735,86.405,866986215.962113,0.002,0.002,100
"484",99.22,97.665,62.8,83.335,81.305,846246994.770564,0.001,0.001,100
"485",62.91,48.76,66.94,32.67,86.065,816989060.519056,0.002,0.002,100
"486",41.67,99.14,80.71,43.475,38.34,739393396.147986,0.003,0.003,100
"487",73.225,98.85,43.015,0.385,71.475,81987166.9184627,0.078,0.06,100
"488",22.93,60.755,49.795,0.79,49.56,101040249.918797,0.061,0.047,100
"489",1.755,70.49,11.63,83.13,83.745,868535666.896235,0.001,0.001,100
"490",20.455,33.645,19.385,5.72,93.065,791169936.207719,0.009,0.008,100
"491",28.295,8.49,54.85,92.605,45.915,780353556.075114,0.002,0.001,100
"492",19.275,32.745,46.38,0.2,63.825,36172560.6039579,0.103,0.074,100
"493",96.225,4.955,52.465,54.05,64.315,818072534.457295,0.002,0.002,100
"494",66.08,16.335,71.925,29.91,31.49,673572638.872265,0.005,0.004,100
"495",92.155,8.82,6.4,5.995,13.475,639153094.596372,0.056,0.048,100
"496",37.45,55.015,32.785,11.53,2.585,60690364.1450546,0.099,0.08,100
"497",4.555,47.38,77.79,22.155,37.595,637811304.617549,0.006,0.005,100
"498",77.295,1.11,96.985,50.545,47.995,769720777.318022,0.002,0.002,100
"499",51.945,76.19,89.08,18,86.825,738999316.312259,0.003,0.003,100
"500",45.11,51.12,40.695,40.695,87.2,838869015.555052,0.002,0.002,100
