"","valor_alfa","valor_beta","valor_omega","valor_gamma","valor_rho","valor_mu","valor_psi","maximo","tiempo_maximo","tiempo_mayor_infectados"
"1",71.8233454739675,44.1946647362784,97.1242963103577,59.2066636541858,9.8939354531467,37.9305321723223,31.2132137361914,59.8110972255782,0.01,0.01
"2",3.12113373074681,37.427773931995,32.7628541970626,43.1642304174602,27.8479950735345,56.5214219735935,63.4510322241113,0.024080246253966,0.01,0.01
"3",51.7022077692673,11.5176710300148,39.0397686744109,37.6130522461608,10.2699983166531,26.0404908796772,60.3771709604189,4.48999261916321,0.01,0.01
"4",60.9923908486962,24.9180291313678,17.7031659753993,11.3730854587629,75.0574405305088,56.0398924630135,63.2345737423748,0.00235884522512684,0.01,0.01
"5",41.4949053432792,3.23022364173084,66.1935017211363,81.7303609568626,14.1493966570124,48.5905346926302,66.3151987129822,0.352474138056308,0.01,0.01
"6",80.4919825401157,26.9361706683412,80.1274644676596,64.5437974948436,90.6449180096388,90.0655083591118,38.1294245366007,0.0181945649971627,0.01,0.01
"7",72.7994431974366,21.3465214008465,68.9775187056512,0.639009824953973,87.3209662502632,88.6556909885257,47.1263421466574,0.000152074454458477,0.01,0.01
"8",16.8770242482424,26.0022952686995,14.1107713105157,13.9024516334757,18.1184821529314,55.162619962357,35.3247434133664,2.21974163779712,0.01,0.01
"9",88.1207730388269,75.117229972966,1.47342542186379,89.5259614801034,85.7740054838359,20.5681518185884,83.8022984098643,0.0123072004524381,0.01,0.01
"10",98.0490354355425,69.8211786337197,72.6065782131627,67.5147426547483,42.5564827630296,77.1985195344314,70.5321394838393,0.0221775037343912,0.01,0.01
"11",91.0175426863134,61.231933394447,48.2727164402604,48.4141144203022,54.6517303213477,26.3672858243808,4.95470142923295,57.399278161627,0.01,0.01
"12",61.7103109834716,98.5522744711488,10.7345841592178,35.3553956141695,47.1830565249547,16.6140272282064,94.4670451339334,0.00784866668296129,0.01,0.01
"13",44.6924555115402,30.8858380885795,85.0031514652073,26.7265709349886,91.4362619398162,21.3865424273536,58.8159356499091,0.00488350747067277,0.01,0.01
"14",80.9199078008533,55.3135831141844,22.2556275315583,34.9985205335543,83.4915426326916,40.0600959314033,46.1159442784265,0.00889635957550508,0.01,0.01
"15",5.84551466163248,77.0239513367414,37.24955113139,12.9066495690495,75.8265580283478,25.3871200839058,86.0118521610275,0.00195603199500255,0.01,0.01
"16",14.0008423710242,32.1784879313782,1.56022172886878,34.6514478325844,31.4052840229124,12.8738472936675,48.0842982186005,0.0235064733103312,0.01,0.01
"17",81.323187216185,70.6162239890546,65.4887048760429,25.6813609506935,41.7214206187055,7.55629255436361,63.3567627286538,0.00956052495647362,0.01,0.01
"18",91.0408383468166,47.643035533838,69.1260934341699,16.4974363287911,67.2230033669621,55.3903963882476,45.9793937392533,0.00522333205615151,0.01,0.01
"19",70.3943565487862,74.5873685693368,44.7721079224721,36.3532262854278,46.9120606547222,37.3260188382119,60.2025050204247,0.0126610542214477,0.01,0.01
"20",78.333650669083,19.3711443338543,12.32185496483,69.7226761141792,78.7832900416106,55.4533115355298,48.278694273904,0.0179572075692269,0.01,0.01
"21",85.1864222437143,99.5508869178593,38.0157274659723,49.3068932322785,53.5588043741882,27.5234300876036,72.6328685646877,0.0125021416022696,0.01,0.01
"22",84.974121209234,8.92066338565201,24.2701294831932,1.79444854147732,81.2071598833427,85.9817124903202,78.4682586789131,0.000278013572723805,0.01,0.01
"23",78.2126865116879,87.9708940163255,14.0525290276855,95.5764456884935,3.42251006513834,85.5112651595846,17.048321897164,609.425308721182,0.01,0.01
"24",68.1222029495984,26.0364772053435,94.9673427967355,23.7500864081085,79.3673578649759,25.4417435731739,10.6598638230935,0.226090339011701,0.01,0.01
"25",27.406099345535,96.0545063950121,9.96256319340318,44.1760058747604,39.7573802154511,62.8829209133983,62.7093986840919,0.0174416428095751,0.19,0.01
"26",17.5916807260364,43.9706987701356,14.5667719421908,96.7203961452469,2.34983095433563,61.3402768736705,71.3216064032167,234.731155399627,0.01,0.01
"27",71.8807460041717,28.9483082713559,0.472002965398133,93.0732635548338,68.2100706035271,65.9867661772296,33.3975646877661,0.0396676343144952,0.01,0.01
"28",60.033776704222,63.2214697310701,52.1322349784896,58.4749455098063,90.3401169227436,19.2967924755067,67.7706489572302,0.00941015550114748,0.01,0.01
"29",69.6134680416435,40.3203147929162,68.176383851096,35.2646757848561,32.4201733805239,4.48609576560557,76.2048446573317,0.0140721855167305,0.01,0.01
"30",68.2836780324578,19.1082565113902,19.3268325645477,81.414306210354,65.8821551827714,29.6957886544988,9.27739166654646,2.2971136254749,0.01,0.01
