"","V1","V2","V3","V4","V5","V6"
"98","beta",9.7,851941979.826475,0.073,0.062,-688438583087112960
"99","beta",9.8,851941979.417171,0.073,0.062,685823125840171264
"100","beta",9.9,851941977.191381,0.073,0.062,1136878818472852608
"101","beta",10,851941979.128368,0.073,0.062,908761614234513152
"102","beta",10.1,851941979.044562,0.073,0.062,1889565493326463488
"103","beta",10.2,851941979.247357,0.073,0.062,-167140825437021120
"104","beta",10.3,851941979.263131,0.073,0.062,1993718702844094720
"105","beta",10.4,851941979.48308,0.073,0.062,-24762385278757883904
"106","beta",10.5,851941977.981742,0.073,0.062,-3827942469252832768
"107","beta",10.6,851941978.799299,0.073,0.062,807697876199525376
"108","beta",10.7,851941978.793949,0.073,0.062,3021456858674424320
"109","beta",10.8,851941975.389447,0.073,0.062,-3436254212071878144
"110","beta",10.9,851941975.288598,0.073,0.062,5419587955948979200
"111","beta",11,851941976.392481,0.073,0.062,4462331100849280000
"112","beta",11.1,851941975.326876,0.073,0.062,1921265281970880512
"113","beta",11.2,851941975.40843,0.073,0.062,32065228094173868032
"114","beta",11.3,851941975.425592,0.073,0.062,34230790673770233856
"115","beta",11.4,851941975.430777,0.073,0.062,-124335072650550032
"116","beta",11.5,851941975.361437,0.073,0.062,5.20311583494423e+20
"117","beta",11.6,851941975.565642,0.073,0.062,3122218868146405888
"118","beta",11.7,851941975.489884,0.073,0.062,-101875613370242336
"119","beta",11.8,851941973.42,0.073,0.062,4510295369880126976
"120","beta",11.9,851941975.569906,0.073,0.062,-1969603755603357696
"121","beta",12,851941980.980983,0.073,0.062,-62190493661976297472
"122","beta",12.1,851941975.137145,0.073,0.062,-46972510454997319680
"123","beta",12.2,851941976.547947,0.073,0.062,13596326042630483968
"124","beta",12.3,851941975.599424,0.073,0.062,-5.78596112926e+18
"125","beta",12.4,851941975.524803,0.073,0.062,-42774900891952873472
"126","beta",12.5,851941975.536177,0.073,0.062,-91293236689524896
"127","beta",12.6,851941975.540545,0.073,0.062,-35778446821488664576
"128","beta",12.7,851941981.050585,0.073,0.062,-99673292164708544
"129","beta",12.8,851941980.687279,0.073,0.062,-34027558776823390208
"130","beta",12.9,851941980.633188,0.073,0.062,-38853410535443693568
"131","beta",13,851941980.763949,0.073,0.062,-35241797375538470912
"132","beta",13.1,851941980.809232,0.073,0.062,-1210037403327116288
"133","beta",13.2,851941975.866245,0.073,0.062,-62064526973991272458
"134","beta",13.3,851941975.759377,0.073,0.062,4.44850551455131e+20
"135","beta",13.4,851941979.832306,0.073,0.062,-93558235468459392
"136","beta",13.5,851941979.79814,0.073,0.062,-245695877795598464
"137","beta",13.6,851941977.37049,0.073,0.062,-50055869504369262592
"138","beta",13.7,851941980.00994,0.073,0.062,-99692084844975920
"139","beta",13.8,851941980.747156,0.073,0.062,4503475148941788672
