"","V1","V2","V3","V4","V5","V6"
"420","muB",16.7,627941740.369271,0.253,0.19,1184.06398940313
"421","muB",16.8,627623899.280031,0.254,0.19,1222.5346705572
"422","muB",16.9,627315860.998841,0.254,0.19,1203.01024255346
"423","muB",17,627000440.948926,0.254,0.19,1183.90386168343
"424","muB",17.1,626677641.994568,0.254,0.19,1165.20458937969
"425","muB",17.2,626366075.050226,0.255,0.191,1202.5260443912
"426","muB",17.3,626054689.531555,0.255,0.191,1183.4809275632
"427","muB",17.4,625735967.274145,0.255,0.191,1164.8404244283
"428","muB",17.5,625412168.409725,0.256,0.191,1201.77849143618
"429","muB",17.6,625104701.389437,0.256,0.192,1182.80014403677
"430","muB",17.7,624789939.610947,0.256,0.192,1164.22377868187
"431","muB",17.8,624467886.32171,0.256,0.192,1146.03898470659
"432","muB",17.9,624150683.620001,0.257,0.192,1181.86661632662
"433","muB",18,623839768.647287,0.257,0.192,1163.35959685059
"434","muB",18.1,623521603.776304,0.257,0.193,1145.24148479545
"435","muB",18.2,623196193.037004,0.257,0.193,1127.50229781651
"436","muB",18.3,622885656.085021,0.258,0.193,1162.25294859946
"437","muB",18.4,622571268.367892,0.258,0.193,1144.20645629952
"438","muB",18.5,622249676.102844,0.258,0.193,1126.53620862449
"439","muB",18.6,621927796.106436,0.259,0.194,1160.90904587665
"440","muB",18.7,621617076.782837,0.259,0.194,1142.9389352509
"441","muB",18.8,621299193.956463,0.259,0.194,1125.34227899025
"442","muB",18.9,620974152.074475,0.259,0.194,1108.10958190981
"443","muB",19,620659218.096894,0.26,0.195,1141.4440579365
"444","muB",19.1,620344938.183081,0.26,0.195,1123.92549282335
"445","muB",19.2,620023539.975891,0.26,0.195,1106.76809589644
"446","muB",19.3,619697874.491669,0.261,0.195,1139.72706500912
"447","muB",19.4,619387093.241525,0.261,0.195,1122.29093186332
"448","muB",19.5,619069234.373904,0.261,0.196,1105.21307850352
"449","muB",19.6,618744302.731072,0.261,0.196,1088.48449295629
"450","muB",19.7,618425836.776226,0.262,0.196,1120.44375530299
"451","muB",19.8,618111415.146371,0.262,0.196,1103.44953468281
"452","muB",19.9,617789961.091973,0.262,0.197,1086.80170516958
"453","muB",20,617461480.116136,0.262,0.197,1070.49162081086
"454","muB",20.1,617150255.543607,0.263,0.197,1101.48255246527
"455","muB",20.2,616832179.090966,0.263,0.197,1084.91932831669
"456","muB",20.3,616507115.707805,0.263,0.197,1068.69098868542
"457","muB",20.4,616185922.511936,0.264,0.198,1099.31727055535
"458","muB",20.5,615871125.81657,0.264,0.198,1082.84235087035
"459","muB",20.6,615549382.118008,0.264,0.198,1066.69937741506
"460","muB",20.7,615220697.299528,0.264,0.198,1050.88015504203
"461","muB",20.8,614906964.1465,0.265,0.199,1080.57581511066
"462","muB",20.9,614588444.331096,0.265,0.199,1064.52168406558
"463","muB",21,614263022.991038,0.265,0.199,1048.7883934624
"464","muB",21.1,613939850.907909,0.266,0.199,1078.12480263727
"465","muB",21.2,613624461.347361,0.266,0.199,1062.16284923613
"466","muB",21.3,613302209.658986,0.266,0.2,1046.5187541182
"467","muB",21.4,612973102.222273,0.266,0.2,1031.18476073713
"468","muB",21.5,612657586.324725,0.267,0.2,1059.62783978396
"469","muB",21.6,612338412.599951,0.267,0.2,1044.07606653509
"470","muB",21.7,612012422.196798,0.267,0.201,1028.83145178149
"471","muB",21.8,611687967.069148,0.268,0.201,1056.92165719107
"472","muB",21.9,611371781.605969,0.268,0.201,1041.46519260197
"473","muB",22,611048818.431551,0.268,0.201,1026.3128855323
"474","muB",22.1,610719084.339847,0.268,0.201,1011.45739621165
"475","muB",22.2,610402460.346807,0.269,0.202,1038.6909900414
"476","muB",22.3,610082436.540672,0.269,0.202,1023.63378604284
"477","muB",22.4,609755680.480878,0.269,0.202,1008.87044481365
"478","muB",22.5,609430588.003642,0.27,0.202,1035.75834490394
"479","muB",22.6,609113417.676695,0.27,0.203,1020.79890734073
"480","muB",22.7,608789553.360585,0.27,0.203,1006.13032150987
"481","muB",22.8,608459002.765062,0.27,0.203,991.745662084508
"482","muB",22.9,608141897.404031,0.271,0.203,1017.81299227528
"483","muB",23,607820841.165104,0.271,0.204,1003.24166097431
"484","muB",23.1,607493136.823581,0.271,0.204,988.951300692809
"485","muB",23.2,607168007.341346,0.272,0.204,1014.68080174203
"486","muB",23.3,606849676.62783,0.272,0.204,1000.20907800591
"487","muB",23.4,606524735.684194,0.272,0.204,986.015330004964
"488","muB",23.5,606193192.162219,0.272,0.205,972.093003820841
"489","muB",23.6,605876187.36589,0.273,0.205,997.037175727959
"490","muB",23.7,605553929.400103,0.273,0.205,982.942240905692
"491","muB",23.8,605225106.687268,0.273,0.205,969.115795138296
"492","muB",23.9,604900496.998645,0.274,0.206,993.730549486201
"493","muB",24,604580843.266285,0.274,0.206,979.736508401611
"494","muB",24.1,604254662.350133,0.274,0.206,966.007987554155
"495","muB",24.2,603922724.569643,0.275,0.206,990.293771004077
"496","muB",24.3,603605598.037931,0.275,0.206,976.402585719487
"497","muB",24.4,603281981.835998,0.275,0.207,962.773924345269
"498","muB",24.5,602951883.787019,0.275,0.207,949.401690046332
"499","muB",24.6,602628310.256035,0.276,0.207,972.944903064486
"500","muB",24.7,602307183.129743,0.276,0.207,959.417915586593
"501","muB",24.8,601979611.396451,0.276,0.208,946.144426189344
"502","muB",24.9,601649092.097037,0.277,0.208,969.367853651561
"503","muB",25,601330380.352579,0.277,0.208,955.944251255747
"504",NA,NA,NA,NA,NA,NA
"505","muE",0,618774484.977895,0.262,0.197,1074.80895777519
"506","muE",0.1,605778759.855219,0.263,0.197,1078.24305196144
"507","muE",0.2,592994185.907911,0.264,0.197,1081.15773406497
"508","muE",0.3,580455347.174588,0.264,0.198,1038.97220943299
"509","muE",0.4,568123273.701586,0.265,0.198,1041.34809992594
"510","muE",0.5,556026182.580547,0.265,0.198,1001.5755547789
"511","muE",0.6,544134368.339052,0.266,0.198,1003.48722051471
"512","muE",0.7,532468837.79322,0.266,0.199,965.989200352022
"513","muE",0.8,521005329.76592,0.267,0.199,967.503630258077
"514","muE",0.9,509761299.268164,0.267,0.199,932.148684079357
"515","muE",1,498714416.287412,0.268,0.2,933.325965838326
"516","muE",1.1,487881933.397487,0.268,0.2,899.989507405855
"517","muE",1.2,477240250.762201,0.269,0.2,900.883464419066
"518","muE",1.3,466809455.070714,0.269,0.2,869.44759514907
"519","muE",1.4,456563741.533818,0.269,0.201,839.718442573167
"520","muE",1.5,446522898.767253,0.27,0.201,840.459687191188
"521","muE",1.6,436665470.864864,0.27,0.201,812.402538263294
"522","muE",1.7,427001593.179416,0.271,0.201,812.963667942743
"523","muE",1.8,417522664.474054,0.271,0.202,786.481732882028
"524","muE",1.9,408225138.562638,0.272,0.202,786.898834133578
"525","muE",2,399114980.148898,0.272,0.202,761.900806050737
"526","muE",2.1,390177732.109201,0.272,0.203,738.195340744456
"527","muE",2.2,381422321.938041,0.273,0.203,738.605958208891
"528","muE",2.3,372840239.802294,0.273,0.203,716.211582256856
"529","muE",2.4,364425860.682225,0.273,0.203,694.948795935334
"530","muE",2.5,356188218.127273,0.274,0.204,695.386894969472
"531","muE",2.6,348115236.219271,0.274,0.204,675.285706833694
"532","muE",2.7,340204435.755725,0.274,0.204,656.178043840876
"533","muE",2.8,332460795.904048,0.275,0.204,656.670504033813
"534","muE",2.9,324877492.216752,0.275,0.205,638.594902523183
"535","muE",3,317450572.225633,0.275,0.205,621.394126873529
"536","muE",3.1,310178379.82265,0.275,0.205,605.017685688377
"537","muE",3.2,303064319.466465,0.276,0.205,605.681171672745
"538","muE",3.3,296101259.292525,0.276,0.206,590.172568650854
"539","muE",3.4,289286778.063447,0.276,0.206,575.393082627852
"540","muE",3.5,282619048.700989,0.276,0.206,561.302231292895
"541","muE",3.6,276096194.796571,0.276,0.206,547.862247067693
"542","muE",3.7,269716356.431705,0.277,0.207,548.788650832372
"543","muE",3.8,263479525.152489,0.277,0.207,536.04472575019
"544","muE",3.9,257381089.373561,0.277,0.207,523.879958553916
"545","muE",4,251419057.114046,0.277,0.207,512.263820042419
"546","muE",4.1,245591403.276311,0.277,0.208,501.167750672445
"547","muE",4.2,239896073.145205,0.277,0.208,490.565016094948
"548","muE",4.3,234330985.886567,0.277,0.208,480.430575074777
"549","muE",4.4,228894038.002912,0.277,0.208,470.74095829309
"550","muE",4.5,223583106.707034,0.277,0.208,461.474156751188
"551","muE",4.6,218396053.204163,0.277,0.209,452.609518944603
"552","muE",4.7,213331362.76869,0.276,0.209,434.353976100874
"553","muE",4.8,208387601.612437,0.276,0.209,426.53042091066
"554","muE",4.9,203561456.935232,0.276,0.209,419.03964833759
"555","muE",5,198850729.815048,0.276,0.209,411.866392758747
"556","muE",5.1,194253221.97822,0.276,0.21,404.996285393783
"557","muE",5.2,189766861.91997,0.275,0.21,390.149160042414
"558","muE",5.3,185392522.789733,0.275,0.21,384.066516764901
"559","muE",5.4,181124920.542441,0.275,0.21,378.238118701044
"560","muE",5.5,176961865.423283,0.275,0.21,372.653197137838
"561","muE",5.6,172904156.121249,0.274,0.211,360.004950125201
"562","muE",5.7,168947623.396962,0.274,0.211,355.053301960787
"563","muE",5.8,165089886.108134,0.273,0.211,343.48980298201
"564","muE",5.9,161331663.991757,0.273,0.211,339.098162592491
"565","muE",6,157667222.361815,0.273,0.211,334.889894936963
"566","muE",6.1,154098849.603334,0.272,0.211,324.602966416036
"567","muE",6.2,150620199.259614,0.271,0.211,314.859983683415
"568","muE",6.3,147233774.16782,0.271,0.212,311.407782396837
"569","muE",6.4,143933786.502003,0.27,0.212,302.430636518263
"570","muE",6.5,140720913.795137,0.27,0.212,299.373737371332
"571","muE",6.6,137592175.926828,0.269,0.212,291.08245878686
"572","muE",6.7,134544952.171357,0.268,0.212,283.199903188025
"573","muE",6.8,131579829.873481,0.268,0.212,280.704456479252
"574","muE",6.9,128692933.186653,0.267,0.212,273.397510340179
"575","muE",7,125882472.861873,0.266,0.212,266.435909160667
"576","muE",7.1,123147421.447606,0.266,0.212,264.411465801036
"577","muE",7.2,120486385.555177,0.265,0.213,257.936014662372
"578","muE",7.3,117896675.46078,0.264,0.213,251.754153657094
"579","muE",7.4,115376668.960682,0.263,0.213,245.848310032516
"580","muE",7.5,112924742.79334,0.262,0.213,240.202161523255
"581","muE",7.6,110539276.344693,0.261,0.213,234.800531503729
"582","muE",7.7,108218899.03878,0.261,0.213,233.559558683598
"583","muE",7.8,105961979.375535,0.26,0.213,228.501118216379
"584","muE",7.9,103766576.806407,0.259,0.213,223.652973689474
"585","muE",8,101631127.913337,0.258,0.213,219.003345810141
"586","muE",8.1,99554086.1108441,0.257,0.213,214.541236716101
"587","muE",8.2,97533923.7367145,0.256,0.213,210.256368955889
"588","muE",8.3,95569134.0051198,0.255,0.213,206.139130512336
"589","muE",8.4,93658232.6929433,0.254,0.213,202.180524401331
"590","muE",8.5,91799759.6748024,0.253,0.213,198.372122997137
"591","muE",8.6,89992280.0907938,0.252,0.213,194.706025329524
"592","muE",8.7,88234385.4137088,0.251,0.213,191.174818439646
"593","muE",8.8,86524771.844703,0.249,0.213,184.74537460536
"594","muE",8.9,84862341.4520428,0.248,0.213,181.524322910341
"595","muE",9,83245468.8651513,0.247,0.213,178.415802696527
"596","muE",9.1,81672853.3221072,0.246,0.213,175.414179899393
"597","muE",9.2,80143223.9034303,0.245,0.213,172.514148600632
"598","muE",9.3,78655339.7223313,0.244,0.212,169.710708607347
"599","muE",9.4,77207990.01741,0.243,0.212,166.999144805679
"600","muE",9.5,75799994.1157197,0.242,0.212,164.375007929278
"601","muE",9.6,74430507.4132848,0.24,0.212,159.263602515089
"602","muE",9.7,73098413.986523,0.239,0.212,156.844106429616
"603","muE",9.8,71802310.1034147,0.238,0.212,154.498413447592
"604","muE",9.9,70541131.5841421,0.237,0.212,152.22306280847
"605","muE",10,69313843.4721026,0.236,0.212,150.014778626961
"606","muE",10.1,68119439.6109301,0.235,0.212,147.87045822214
"607","muE",10.2,66957595.4320001,0.233,0.211,143.478688529888
"608","muE",10.3,65826695.2100893,0.232,0.211,141.486283401785
"609","muE",10.4,64725815.0768044,0.231,0.211,139.548252466449
"610","muE",10.5,63654058.3659937,0.23,0.211,137.662146524281
"611","muE",10.6,62610600.5855477,0.228,0.211,133.671322146342
"612","muE",10.7,61595140.1253138,0.227,0.21,131.909923171923
"613","muE",10.8,60606250.5475757,0.226,0.21,130.192839076166
"614","muE",10.9,59643137.0575026,0.225,0.21,128.518119766901
"615","muE",11,58705029.0489239,0.224,0.21,126.883909808426
"616","muE",11.1,57791348.5707166,0.222,0.21,123.291782031053
"617","muE",11.2,56901615.9337915,0.221,0.209,121.756353750735
"618","muE",11.3,56034694.1850077,0.22,0.209,120.255640612123
"619","muE",11.4,55189903.3683054,0.219,0.209,118.788151815491
"620","muE",11.5,54366584.7256533,0.218,0.209,117.352466143802
"621","muE",11.6,53564301.4126169,0.216,0.208,114.084883478835
"622","muE",11.7,52782546.2730879,0.215,0.208,112.728142763239
"623","muE",11.8,52020385.659048,0.214,0.208,111.398752443997
"624","muE",11.9,51277239.9429976,0.213,0.208,110.09556236267
"625","muE",12,50552547.8077985,0.212,0.207,108.81747442606
"626","muE",12.1,49845808.8377106,0.21,0.207,105.817418443703
"627","muE",12.2,49156847.2040278,0.209,0.207,104.602984669702
"628","muE",12.3,48484737.2626283,0.208,0.206,103.41020782567
"629","muE",12.4,47828985.851723,0.207,0.206,102.238194640582
"630","muE",12.5,47189115.4588217,0.206,0.206,101.086091428489
"631","muE",12.6,46564663.7216981,0.205,0.206,99.9530822021925
"632","muE",12.7,45955182.9439328,0.204,0.205,98.8383869371627
"633","muE",12.8,45360573.6048206,0.202,0.205,96.1261202033795
"634","muE",12.9,44780063.6938178,0.201,0.205,95.0595978494041
"635","muE",13,44213244.5319691,0.2,0.204,94.0089463884575
"636","muE",13.1,43659722.893,0.199,0.204,92.9735290471526
"637","muE",13.2,43119117.9784326,0.198,0.204,91.9527370076494
"638","muE",13.3,42591060.9983884,0.197,0.203,90.9459881344213
"639","muE",13.4,42075194.7788189,0.196,0.203,89.9527258753062
"640","muE",13.5,41571173.3693196,0.195,0.202,88.9724181306781
"641","muE",13.6,41078828.0261134,0.193,0.202,86.5139731509746
"642","muE",13.7,40597685.544895,0.192,0.202,85.5696838031892
"643","muE",13.8,40127395.7407808,0.191,0.201,84.6366950563141
"644","muE",13.9,39667654.3239715,0.19,0.201,83.7145734665655
"645","muE",14,39218166.4617734,0.189,0.201,82.8029049906914
"646","muE",14.1,38778646.4628815,0.188,0.2,81.901294243634
"647","muE",14.2,38348817.4636788,0.187,0.2,81.0093637202167
"648","muE",14.3,37928411.13231,0.186,0.199,80.1267531185666
"649","muE",14.4,37517167.3828675,0.185,0.199,79.2531187001673
"650","muE",14.5,37114834.0907038,0.184,0.199,78.3881326075195
"651","muE",14.6,36721166.8266871,0.183,0.198,77.5314822937451
"652","muE",14.7,36335928.594497,0.182,0.198,76.6828699290691
"653","muE",14.8,35958889.5826601,0.181,0.197,75.8420118856243
"654","muE",14.9,35589826.9152183,0.18,0.197,75.0086381597178
"655","muE",15,35228524.4207869,0.179,0.196,74.1824919052591
"656","muE",15.1,34874772.4042785,0.178,0.196,73.3633289436877
"657","muE",15.2,34528367.427575,0.177,0.196,72.5509173041075
"658","muE",15.3,34189112.0976941,0.176,0.195,71.7450367826857
"659","muE",15.4,33856814.8619909,0.175,0.195,70.9454785189291
"660","muE",15.5,33531289.8108128,0.174,0.194,70.1520445915236
"661","muE",15.6,33212356.4864996,0.173,0.194,69.3645476277681
"662","muE",15.7,32899839.6992077,0.172,0.193,68.5828104296667
"663","muE",15.8,32593569.3488089,0.171,0.193,67.8066656127602
"664","muE",15.9,32293380.2533555,0.17,0.193,67.0359552610352
"665","muE",16,31999111.9831439,0.169,0.192,66.2705305927257
"666","muE",16.1,31710608.7000928,0.168,0.192,65.5102516354705
"667","muE",16.2,31427753.8565634,0.168,0.191,65.9849854457303
"668","muE",16.3,31150514.8417465,0.167,0.191,65.2255468629103
"669","muE",16.4,30878610.5619102,0.166,0.19,64.4709101850214
"670","muE",16.5,30611901.9200734,0.165,0.19,63.7209644195193
"671","muE",16.6,30350253.6973284,0.164,0.189,62.9756061058629
"672","muE",16.7,30093534.4228532,0.163,0.189,62.2347390479778
"673","muE",16.8,29841616.248384,0.162,0.188,61.4982740549967
"674","muE",16.9,29594374.8269868,0.161,0.188,60.7661286898347
"675","muE",17,29351751.8146159,0.161,0.188,61.2160778195138
"676","muE",17.1,29113779.1527822,0.16,0.187,60.4833519953527
"677","muE",17.2,28880140.110283,0.159,0.187,59.7547407920328
"678","muE",17.3,28650723.1447876,0.158,0.186,59.0301843393772
"679","muE",17.4,28425419.6749525,0.157,0.186,58.3096285096898
"680","muE",17.5,28204123.9817001,0.156,0.185,57.593024700808
"681","muE",17.6,27986881.8715116,0.156,0.185,58.0239531683045
"682","muE",17.7,27773632.0323331,0.155,0.184,57.3060620681058
"683","muE",17.8,27564098.4816459,0.154,0.184,56.5920011411051
"684","muE",17.9,27358185.9998059,0.153,0.183,55.881740504922
"685","muE",18,27155801.789556,0.152,0.183,55.175254925234
"686","muE",18.1,26957097.2892721,0.152,0.182,55.5904524323456
"687","muE",18.2,26761884.7050854,0.151,0.182,54.882275025982
"688","muE",18.3,26569944.8112162,0.15,0.182,54.1778092676781
"689","muE",18.4,26381193.7227747,0.149,0.181,53.4770458774101
"690","muE",18.5,26195721.8868901,0.149,0.181,53.8808494862776
"691","muE",18.6,26013525.0569189,0.148,0.18,53.1781611802377
"692","muE",18.7,25834286.2508883,0.147,0.18,52.4791523020017
"693","muE",18.8,25657929.4097608,0.146,0.179,51.7838275706676
"694","muE",18.9,25484644.0116722,0.146,0.179,52.1754807653202
"695","muE",19,25314284.3812994,0.145,0.178,51.4780831983707
"696","muE",19.1,25146597.7814218,0.144,0.178,50.7843830328636
"697","muE",19.2,24981542.1860354,0.144,0.177,51.1691059943934
"698","muE",19.3,24819474.1681987,0.143,0.177,50.4732425055114
"699","muE",19.4,24659884.8903063,0.142,0.176,49.7811138022961
"700","muE",19.5,24502709.7829812,0.141,0.176,49.0927447923092
"701","muE",19.6,24348264.709407,0.141,0.175,49.4641892231378
"702","muE",19.7,24196240.1162,0.14,0.175,48.7736389192962
"703","muE",19.8,24046452.946108,0.139,0.175,48.0869151699169
"704","muE",19.9,23899177.6127271,0.139,0.174,48.450629154257
"705","muE",20,23754221.8680231,0.138,0.174,47.7617203380046
"706","muE",20.1,23611338.5873523,0.137,0.173,47.076724603555
"707","muE",20.2,23470837.4293386,0.137,0.173,47.4324068990075
"708","muE",20.3,23332488.3343687,0.136,0.172,46.7452550139298
"709","muE",20.4,23196057.4965598,0.135,0.172,46.0621206606309
"710","muE",20.5,23061962.9575996,0.135,0.171,46.4094980365957
"711","muE",20.6,22929789.0727446,0.134,0.171,45.7242671602569
"712","muE",20.7,22799446.8012506,0.134,0.17,46.0693225042446
"713","muE",20.8,22671359.3302914,0.133,0.17,45.3820014461796
"714","muE",20.9,22544957.3538931,0.132,0.169,44.6989006279651
"715","muE",21,22420474.0414293,0.132,0.169,45.0352169995435
"716","muE",21.1,22297910.8078003,0.131,0.169,44.3501317258798
"717","muE",21.2,22176903.1866538,0.13,0.168,43.6694113729627
"718","muE",21.3,22057974.8777106,0.13,0.168,43.9967849507559
"719","muE",21.4,21940574.2077312,0.129,0.167,43.3142116788875
"720","muE",21.5,21824886.8459734,0.129,0.167,43.6387905528116
"721","muE",21.6,21710950.4369776,0.128,0.166,42.9544140382006
"722","muE",21.7,21598395.2011621,0.128,0.166,43.2760916553471
"723","muE",21.8,21487786.3365936,0.127,0.165,42.5899709831666
"724","muE",21.9,21378464.8084293,0.126,0.165,41.9085887672621
"725","muE",22,21270846.6900754,0.126,0.165,42.2208474574133
"726","muE",22.1,21164652.9362624,0.125,0.164,41.5379055904599
"727","muE",22.2,21059906.0787528,0.125,0.164,41.847020605792
"728","muE",22.3,20956717.0852197,0.124,0.163,41.1626010815557
"729","muE",22.4,20854748.3871209,0.124,0.163,41.4684795553827
"730","muE",22.5,20754446.0816779,0.123,0.162,40.7826727303572
"731","muE",22.6,20655197.3087778,0.122,0.162,40.1020344111865
"732","muE",22.7,20557637.3327854,0.122,0.161,40.3981295196477
"733","muE",22.8,20461101.82593,0.121,0.161,39.7163332280823
"734","muE",22.9,20366096.3984292,0.121,0.161,40.0089916932833
"735","muE",23,20272167.4078344,0.12,0.16,39.3261475182391
"736","muE",23.1,20179636.5862348,0.12,0.16,39.615290518889
"737","muE",23.2,20088211.4593307,0.119,0.159,38.9315158154458
"738","muE",23.3,19998078.5687138,0.119,0.159,39.2170680386275
"739","muE",23.4,19909058.5401099,0.118,0.158,38.5324871505417
"740","muE",23.5,19821250.02,0.118,0.158,38.8143768230883
"741","muE",23.6,19734540.0133384,0.117,0.158,38.1291207908546
"742","muE",23.7,19648985.272604,0.117,0.157,38.4072797077354
"743","muE",23.8,19564493.7124415,0.116,0.157,37.7214859772778
"744","muE",23.9,19481124.9918261,0.116,0.156,37.9958495269211
"745","muE",24,19398763.6253977,0.115,0.156,37.3096616529834
"746","muE",24.1,19317515.86724,0.115,0.155,37.5801688393239
"747","muE",24.2,19237199.5954442,0.114,0.155,36.8937361846876
"748","muE",24.3,19158010.3201677,0.114,0.155,37.1603296457636
"749","muE",24.4,19079657.0372241,0.113,0.154,36.4738070758218
"750","muE",24.5,19002466.2262082,0.113,0.154,36.7364330987572
"751","muE",24.6,18925996.6675076,0.112,0.153,36.0499806754227
"752","muE",24.7,18850746.6519583,0.112,0.153,36.3085892077249
"753","muE",24.8,18776102.8778231,0.112,0.153,36.569659372321
"754","muE",24.9,18702719.6048779,0.111,0.152,35.8769165317166
"755","muE",25,18629939.0299228,0.111,0.152,36.1338647087983
"756",NA,NA,NA,NA,NA,NA
"757","muI",0,10000119.5074207,0.455,NA,1.11619167219815
"758","muI",0.1,664749708.157828,6.648,4.747,1678.72014114948
"759","muI",0.2,678270874.620045,3.392,2.431,1701.14213694387
"760","muI",0.3,680831253.451049,2.308,1.658,1691.34301400159
"761","muI",0.4,680671336.693084,1.766,1.271,1680.75171142871
"762","muI",0.5,679469428.242054,1.439,1.038,1652.01887229569
"763","muI",0.6,677786999.849041,1.221,0.882,1632.42684578042
"764","muI",0.7,675863389.361688,1.065,0.77,1616.46962720105
"765","muI",0.8,673817179.872955,0.947,0.686,1588.5434041968
"766","muI",0.9,671711487.832316,0.855,0.62,1564.11620161072
"767","muI",1,669582961.299776,0.781,0.568,1537.80719925746
"768","muI",1.1,667453299.152432,0.721,0.524,1532.62729632911
"769","muI",1.2,665337913.192818,0.67,0.488,1505.87825790498
"770","muI",1.3,663242395.749335,0.627,0.457,1489.80863246926
"771","muI",1.4,661173101.075969,0.589,0.431,1444.90079117064
"772","muI",1.5,659136028.38341,0.557,0.407,1435.30807432782
"773","muI",1.6,657127932.974953,0.529,0.387,1429.98223198245
"774","muI",1.7,655151031.200281,0.504,0.369,1418.51502453574
"775","muI",1.8,653211421.255884,0.481,0.353,1383.73405119569
"776","muI",1.9,651300866.722476,0.461,0.339,1374.22411917003
"777","muI",2,649420239.980802,0.442,0.325,1331.48112363361
"778","muI",2.1,647577379.590076,0.426,0.314,1337.46145862033
"779","muI",2.2,645760823.842596,0.411,0.303,1328.24394479637
"780","muI",2.3,643976314.965445,0.397,0.293,1309.64073076947
"781","muI",2.4,642221231.838023,0.384,0.284,1287.23177907399
"782","muI",2.5,640493413.939935,0.372,0.275,1266.09135126659
"783","muI",2.6,638793441.603386,0.361,0.267,1250.76054467667
"784","muI",2.7,637121064.371153,0.351,0.26,1245.41485424214
"785","muI",2.8,635469168.546931,0.341,0.253,1211.69435261446
"786","muI",2.9,633846926.818699,0.333,0.247,1236.99829235062
"787","muI",3,632253827.61847,0.324,0.241,1195.65609034188
"788","muI",3.1,630677253.316936,0.316,0.235,1175.95329929305
"789","muI",3.2,629130618.25418,0.309,0.23,1180.30014614384
"790","muI",3.3,627602076.184033,0.302,0.225,1166.58741489407
"791","muI",3.4,626087751.921269,0.295,0.22,1135.92400565797
"792","muI",3.5,624607083.940779,0.289,0.216,1134.64284430999
"793","muI",3.6,623139115.831966,0.283,0.212,1119.10010117899
"794","muI",3.7,621695008.324261,0.278,0.208,1136.52306246467
"795","muI",3.8,620263848.663372,0.272,0.204,1094.73276163791
"796","muI",3.9,618857684.060802,0.267,0.2,1087.98954152384
"797","muI",4,617461480.116136,0.262,0.197,1070.49162081086
"798","muI",4.1,616098890.962452,0.258,0.193,1090.36708107226
"799","muI",4.2,614734187.842027,0.253,0.19,1052.9549212463
"800","muI",4.3,613402445.096923,0.249,0.187,1054.54222259763
"801","muI",4.4,612080552.529867,0.245,0.184,1047.92532516273
"802","muI",4.5,610770570.142366,0.241,0.182,1033.43502545428
"803","muI",4.6,609473097.473302,0.238,0.179,1061.10915800677
"804","muI",4.7,608206278.775947,0.234,0.176,1031.71483182747
"805","muI",4.8,606931616.267673,0.231,0.174,1046.15620479989
"806","muI",4.9,605693009.455012,0.227,0.172,1003.50481059729
"807","muI",5,604461304.882281,0.224,0.169,1005.37155595575
"808","muI",5.1,603240164.057548,0.221,0.167,1001.72066232559
"809","muI",5.2,602032549.8594,0.218,0.165,992.716183998781
"810","muI",5.3,600837115.526153,0.215,0.163,978.612921582272
"811","muI",5.4,599648386.955023,0.212,0.161,959.746029598941
"812","muI",5.5,598476087.869069,0.21,0.159,987.733758727215
"813","muI",5.6,597326750.677494,0.207,0.157,959.517654770106
"814","muI",5.7,596164475.019221,0.205,0.155,979.522140536337
"815","muI",5.8,595044521.374285,0.202,0.154,942.888273974929
"816","muI",5.9,593916144.93652,0.2,0.152,955.009495193591
"817","muI",6,592792232.338818,0.197,0.15,911.316821998783
"818","muI",6.1,591701589.045056,0.195,0.149,916.065641709275
"819","muI",6.2,590613571.755933,0.193,0.147,917.739150212654
"820","muI",6.3,589532442.124934,0.191,0.146,916.365798010737
"821","muI",6.4,588460670.922686,0.189,0.144,912.007070633894
"822","muI",6.5,587399030.026482,0.187,0.143,904.75554096804
"823","muI",6.6,586346666.823109,0.185,0.141,894.73236464831
"824","muI",6.7,585301163.137189,0.183,0.14,882.084351715195
"825","muI",6.8,584258579.38456,0.181,0.139,866.980715344288
"826","muI",6.9,583230136.353525,0.18,0.137,902.787839665257
"827","muI",7,582228771.275256,0.178,0.136,882.445401768254
"828","muI",7.1,581220911.389772,0.176,0.135,860.093277675701
"829","muI",7.2,580203549.223206,0.175,0.134,889.615137394362
"830","muI",7.3,579235146.071641,0.173,0.133,862.537121717322
"831","muI",7.4,578240082.250623,0.171,0.131,834.044603165265
"832","muI",7.5,577277625.212546,0.17,0.13,857.082912770175
"833","muI",7.6,576301570.941917,0.168,0.129,824.669105260739
"834","muI",7.7,575355569.431054,0.167,0.128,844.105592972157
"835","muI",7.8,574381725.164643,0.165,0.127,808.316834900785
"836","muI",7.9,573463152.244031,0.164,0.126,824.183944515197
"837","muI",8,572519561.374538,0.163,0.125,839.053929317065
"838","muI",8.1,571582299.309564,0.161,0.124,798.062808977832
"839","muI",8.2,570678508.78971,0.16,0.123,809.447771447542
"840","muI",8.3,569761612.176979,0.159,0.122,819.753771942258
"841","muI",8.4,568836182.811822,0.158,0.122,828.944969342775
"842","muI",8.5,567942399.417596,0.156,0.121,781.825982845746
"843","muI",8.6,567061363.195747,0.155,0.12,787.813119646725
"844","muI",8.7,566177605.134978,0.154,0.119,792.697276756751
"845","muI",8.8,565293861.188862,0.153,0.118,796.468335067205
"846","muI",8.9,564412462.146702,0.152,0.117,799.121544332328
"847","muI",9,563535350.37318,0.151,0.117,800.657427718403
